ACTIVE,DOCUMENT_ID,TITLE,QUICK_CODE,SUMMARY,VERSION,REVISION,CAN_DOWNLOAD_BINARY,CAN_DOWNLOAD_CONTENT,LAST_MODIFIED_DATETIME,DOWNLOAD_AS_PDF,TYPE,SHOW_IN_OFFICE_ONLINE_VIEWER,IS_EDITABLE_FORM,IS_PRINTABLE,DOCUMENT_TYPE_ID,DOCUMENT_TYPE_NAME,DOCUMENT_TYPE_MINI_ID,DOCUMENT_TYPE_MINI_NAME,PRINT_HEADER_REQUIRED,CAN_BE_COMPARED,CAN_BE_EDITED,CAN_CHECK_DOCUMENT,MARKED_AS_FAVORITE,FOLDER_MINI_FOLDER_ID,FOLDER_MINI_FOLDER_NAME,FOLDER_MINI_FULL_PATH,STATE,CHECK_DATE,HAS_DELETE_PUBLISHED_PERMISSION,ORIGINAL_TYPE,LANGUAGE,DOWNLOAD_BINARY_EXTENSION,MIME_TYPE,OFFICE_PRINT_COVER_PAGE_MODE,ATTENTION_REQUIRED_FLAGS
True,00055c18-7ba7-4e2b-bf5c-0402ccfd6d0b,Draaiboek diagnostiek en behandellijnen Sleewijkstraat,BNK-54-Q,Draaiboek diagnostiek en behandellijnen Sleewijkstraat,7,0,False,True,20251006092602,False,interactive,False,False,True,11,Interactief document,11,Interactief document,True,False,False,False,False,36,ONS/ECD,Cordaan\ONS/ECD,published,20260704,False,none,nl-NL,,,,
True,00470687-99c7-4d23-9168-ccf96f51bfde,Werkinstructie aanvragen moreel beraad,NW-46-42,"In dit document wordt uitgelegd wat een moreel beraad is, hoe het werkt en hoe je deze kunt aanvragen. ",10,0,True,False,20260422080815,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20261117,False,none,nl-NL,pdf,application/pdf,not_used,
True,00550723-5f12-4725-8f2a-aea482b3826c,Rolbeschrijving Eerste Verantwoordelijk Verzorging-coördinator,TF-TJ-78,,1,0,True,False,20250526113603,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20260401,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,00842888-a49f-4cf2-b36d-50ac88643b9c,Spelregels gebruik Bunqpas,85-67-PH,bevat een aantal belangrijke gebruiksaanwijzingen voor gebruik van de Bunqpas. ,2,0,True,False,20260331114539,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,22,Financiën,Cordaan\Financiën,published,20260515,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_approaches""]"
True,00e1e78b-d93a-449f-b787-39bf26334023,Manager Behandelzaken VGZ,PT-TK-68,,1,0,True,False,20221205130203,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20270401,False,none,nl-NL,pdf,application/pdf,not_used,
True,00fb65eb-e445-4847-ada2-d6bd6e09251b,Jaarverslag Centrale Cliëntenraad Cordaan 2024,57-TTR-6,,1,0,True,False,20250611083429,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20270611,False,none,nl-NL,pdf,application/pdf,not_used,
True,0164f01d-d8a6-468c-ba17-ba9d3df70ab1,Medewerker Servicedesk (Facilitair),TJ-28-57,,1,0,True,False,20221205130203,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20270401,False,none,nl-NL,pdf,application/pdf,not_used,
True,01719f59-a265-4049-94a3-4b5a43099abf,Dashboard Productie,72-22-QK,"Bevat informatie over productie, te filteren op o.a. budgetorgaanstructuur, kostenplaats, periode, financieringsvorm etc. ",6,0,True,False,20260212122552,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,42,Dashboard leeswijzers,Cordaan\Cordaan Informatie Systeem (CIS)\Dashboard leeswijzers,published,20260723,False,none,nl-NL,pdf,application/pdf,not_used,
True,01cb432e-e447-4fa0-95b3-285e5f4b4616,Praktijkadviseur leren  ontwikkelen,PK-NW-87,Functienaam Praktijkadviseur leren en ontwikkelen ,3,0,True,False,20231002071631,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20280127,False,none,nl-NL,pdf,application/pdf,not_used,
True,01df65fb-8ed6-4d2c-a5d8-2d6fc9f7b995,Inschakelen wondverpleegkundige - Zorg in de Wijk,26-XBV-8,stroomschema hoe je de wondverpleegkundige kunt inschakelen ,1,0,True,False,20250115103603,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20240805,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
